Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Chionanthus thorelii voucher P:M.F. Newman 2145 (P00577947) chloroplast, complete genome",Chionanthus thorelii,377,377,99%,5.999999999999998e-100,97.74,156057,MH817898.1
"Chionanthus retusus isolate coll. KEW-13008 chloroplast, complete genome",Chionanthus retusus,377,377,99%,5.999999999999998e-100,97.74,155637,MH817897.1
"Chionanthus quadristamineus voucher K:A. Papadopulos 366 chloroplast, complete genome",Chionanthus quadristamineus,377,377,99%,5.999999999999998e-100,97.74,155618,MH817893.1
"Chionanthus pubescens voucher K:J. Mostacero-Leon et al. 1762 chloroplast, complete genome",Chionanthus pubescens,377,377,99%,5.999999999999998e-100,97.74,155800,MH817892.1
"Chionanthus polygamus voucher K:T. & P. 148 (K000224268) chloroplast, complete genome",Chionanthus polygamus,377,377,99%,5.999999999999998e-100,97.74,155411,MH817891.1
"Chionanthus maxwellii voucher P:M.F. Newman, LAO 189 (P03406941) chloroplast, complete genome",Chionanthus maxwellii,377,377,99%,5.999999999999998e-100,97.74,155504,MH817889.1
"Chionanthus mala-elengi voucher P:C.F. van Beusekom & C. Phengklai 3048 (P03426140) chloroplast, complete genome",Chionanthus mala-elengi,377,377,99%,5.999999999999998e-100,97.74,155500,MH817888.1
"Chionanthus ligustrinus voucher P:A.H. Liogier 15164 (P03384280) chloroplast, complete genome",Chionanthus ligustrinus,377,377,99%,5.999999999999998e-100,97.74,155912,MH817886.1
"Chionanthus brassii voucher MPU:J.F. Molino 3081 chloroplast, complete genome",Chionanthus brassii,377,377,99%,5.999999999999998e-100,97.74,155981,MH817884.1
"Chionanthus brassii voucher MPU:J.F. Molino 3078 chloroplast, complete genome",Chionanthus brassii,377,377,99%,5.999999999999998e-100,97.74,155980,MH817883.1
"Chionanthus axillaris voucher P:B. Hyland 11357 (P04254621) chloroplast, complete genome",Chionanthus axillaris,377,377,99%,5.999999999999998e-100,97.74,155550,MH817882.1
"Syringa pubescens subsp. microphylla cultivar cv. Superba voucher P:G. Besnard 02-2015 chloroplast, complete genome",Syringa pubescens subsp. microphylla,377,377,99%,5.999999999999998e-100,97.74,160408,MH817881.1
"Priogymnanthus hasslerianus voucher P:E.M. Zardini & M. Vera 41142 (P03868535) chloroplast, complete genome",Priogymnanthus hasslerianus,377,377,99%,5.999999999999998e-100,97.74,156760,MH817879.1
"Noronhia intermedia voucher P:M.S. Vorontsova 464 chloroplast, complete genome",Noronhia intermedia,377,377,99%,5.999999999999998e-100,97.74,155654,MH817876.1
"Noronhia clarinerva voucher P:M.S. Vorontsova 356 chloroplast, complete genome",Noronhia clarinerva,377,377,99%,5.999999999999998e-100,97.74,155576,MH817875.1
"Fraxinus angustifolia voucher P:G. Besnard 42-2014 chloroplast, complete genome",Fraxinus angustifolia,377,377,99%,5.999999999999998e-100,97.74,155574,MH817870.1
"Schrebera trichoclada voucher MO:Greenway 15328 chloroplast, complete genome",Schrebera trichoclada,377,377,99%,5.999999999999998e-100,97.74,155671,MH817867.1
"Schrebera trichoclada voucher MO:T.B. Hart 1544 chloroplast, complete genome",Schrebera trichoclada,377,377,99%,5.999999999999998e-100,97.74,155644,MH817866.1
"Schrebera swietenioides voucher MO:C.F. van Beusekom 3815 chloroplast, complete genome",Schrebera swietenioides,377,377,99%,5.999999999999998e-100,97.74,156068,MH817865.1
"Schrebera orientalis voucher MO:Service Forestier 27716 chloroplast, complete genome",Schrebera orientalis,377,377,99%,5.999999999999998e-100,97.74,155718,MH817864.1
"Osmanthus marginatus voucher P:J.P.W. Woo 138 (P04074276) chloroplast, complete genome",Chengiodendron marginatum,377,377,99%,5.999999999999998e-100,97.74,155562,NC_042265.1
"Osmanthus insularis voucher M:G. Murata 18543 chloroplast, complete genome",Osmanthus insularis,377,377,99%,5.999999999999998e-100,97.74,155298,MH817862.1
"Osmanthus aff. armatus Besnard 02-2013 voucher P:G. Besnard 02-2013 chloroplast, complete genome",Osmanthus aff. armatus Besnard 02-2013,377,377,99%,5.999999999999998e-100,97.74,155324,MH817861.1
"Noronhia brevituba voucher TAN:M.S. Vorontsova 1929-7 chloroplast, complete genome",Noronhia brevituba,377,377,99%,5.999999999999998e-100,97.74,155594,MH817860.1
"Chionanthus pedunculatus voucher MNHN:P:H.S. MacKee 43644 (P00096934) chloroplast, complete genome",Chionanthus pedunculatus,377,377,99%,5.999999999999998e-100,97.74,155578,MH817859.1
"Syringa pinnatifolia chloroplast, complete genome",Syringa pinnatifolia,377,377,99%,5.999999999999998e-100,97.74,155326,NC_041119.1
"Fraxinus mandshurica chloroplast, complete genome",Fraxinus mandshurica,377,377,99%,5.999999999999998e-100,97.74,155530,MH674342.1
"Fraxinus chiisanensis chloroplast, complete genome",Fraxinus chiisanensis,377,377,99%,5.999999999999998e-100,97.74,155571,MF980720.1
"Amphilophium dusenianum voucher J. Durigon 582 photosystem II protein H (psbH) gene, complete cds; chloroplast",Amphilophium dusenianum,377,377,99%,5.999999999999998e-100,97.74,222,MG750215.1
"Syringa pinnatifolia chloroplast, complete genome",Syringa pinnatifolia,377,377,99%,5.999999999999998e-100,97.74,155326,MG917095.1
"Fraxinus excelsior chloroplast, complete genome",Fraxinus excelsior,377,377,99%,5.999999999999998e-100,97.74,155622,NC_037446.1
"Fraxinus chiisanensis plastid, complete genome",Fraxinus chiisanensis,377,377,99%,5.999999999999998e-100,97.74,155541,NC_037171.1
"Fraxinus excelsior chloroplast, complete genome",Fraxinus excelsior,377,377,99%,5.999999999999998e-100,97.74,155622,MG214254.1
"Fraxinus chiisanensis plastid, complete genome",Fraxinus chiisanensis,377,377,99%,5.999999999999998e-100,97.74,155541,MG594385.1
"Schrebera arborea voucher R. Letouzey 5136 [K] chloroplast, complete genome",Schrebera arborea,377,377,99%,5.999999999999998e-100,97.74,155657,MG255767.1
"Olea europaea subsp. laperrinei isolate Adjelella 10 chloroplast, complete genome",Olea europaea subsp. laperrinei,377,377,99%,5.999999999999998e-100,97.74,155886,MG255765.1
"Olea europaea subsp. guanchica isolate La Gomera 10 chloroplast, complete genome",Olea europaea subsp. guanchica,377,377,99%,5.999999999999998e-100,97.74,155892,MG255764.1
"Olea europaea subsp. europaea isolate Vallee du Fango 5 chloroplast, complete genome",Olea europaea subsp. europaea,377,377,99%,5.999999999999998e-100,97.74,155872,MG255762.1
"Olea europaea subsp. europaea isolate Stavrovouni Monastery 11 chloroplast, complete genome",Olea europaea subsp. europaea,377,377,99%,5.999999999999998e-100,97.74,155139,MG255761.1
"Olea europaea subsp. cuspidata isolate Menagesha Forest 14 chloroplast, complete genome",Olea europaea subsp. cuspidata,377,377,99%,5.999999999999998e-100,97.74,155533,MG255760.1
"Noronhia lowryi voucher J. Razanatsoa 550 [TAN] chloroplast, complete genome",Noronhia lowryi,377,377,99%,5.999999999999998e-100,97.74,155582,MG255759.1
"Nestegis apetala isolate KEW-1966-67112 voucher Kepos 45351 [K] chloroplast, complete genome",Nestegis apetala,377,377,99%,5.999999999999998e-100,97.74,154849,MG255758.1
"Forsythia x intermedia voucher G. Besnard, sn [MPU] chloroplast, complete genome",Forsythia x intermedia,377,377,99%,5.999999999999998e-100,97.74,156376,MG255756.1
"Fontanesia phillyreoides subsp. fortunei voucher T. Jossberger1829 [BONN] chloroplast, complete genome",Fontanesia phillyreoides subsp. fortunei,377,377,99%,5.999999999999998e-100,97.74,155992,MG255754.1
"Chionanthus rupicola voucher W. Takeuchi et al. 15149 [K] chloroplast, complete genome",Chionanthus rupicola,377,377,99%,5.999999999999998e-100,97.74,155563,MG255753.1
"Chionanthus parkinsonii voucher M. Van de Bult 1222 [M] chloroplast, complete genome",Chionanthus parkinsonii,377,377,99%,5.999999999999998e-100,97.74,155436,MG255752.1
"Forsythia suspensa chloroplast, complete genome",Forsythia suspensa,377,377,99%,5.999999999999998e-100,97.74,156404,MF579702.1
"Olea europaea cultivar Bianchera chloroplast, complete genome",Olea europaea,377,377,99%,5.999999999999998e-100,97.74,155888,NC_013707.2
"Chionanthus retusus chloroplast, complete genome",Chionanthus retusus,377,377,99%,5.999999999999998e-100,97.74,155687,KY582962.1
"Abeliophyllum distichum chloroplast, complete genome",Abeliophyllum distichum,377,377,99%,5.999999999999998e-100,97.74,155982,KT274029.1
"Hesperelaea palmeri complete chloroplast genome, specimen voucher E. Palmer 81 (MO)",Hesperelaea palmeri,377,377,99%,5.999999999999998e-100,97.74,155820,LN515489.1
"Fraxinus chinensis chloroplast, complete genome",Fraxinus chinensis,377,377,99%,5.999999999999998e-100,97.74,155610,MW599993.1
"Ajuga reptans plastid, complete genome",Ajuga reptans,377,377,99%,5.999999999999998e-100,97.74,149963,KF709391.1
"Syringa oblata chloroplast, complete genome",Syringa oblata,377,377,99%,5.999999999999998e-100,97.74,155668,MW464119.1
"Olea paniculata voucher BOP215906 chloroplast, complete genome",Olea paniculata,377,377,99%,5.999999999999998e-100,97.74,155625,MT560031.1
"Olea caudatilimba voucher POC544614 chloroplast, complete genome",Olea caudatilimba,377,377,99%,5.999999999999998e-100,97.74,155567,MT560030.1
"Olea caudatilimba voucher Cunyu Yang et al 4670 chloroplast, complete genome",Olea caudatilimba,377,377,99%,5.999999999999998e-100,97.74,155568,MT560029.1
"Olea caudatilimba voucher China-Russians tean 1975 chloroplast, complete genome",Olea caudatilimba,377,377,99%,5.999999999999998e-100,97.74,155541,MT560028.1
"Olea caudatilimba voucher BOP215905 chloroplast, complete genome",Olea caudatilimba,377,377,99%,5.999999999999998e-100,97.74,155568,MT560027.1
"Olea europaea subsp. cuspidata voucher POC528849 chloroplast, complete genome",Olea europaea subsp. cuspidata,377,377,99%,5.999999999999998e-100,97.74,155531,MT560026.1
"Olea europaea subsp. cuspidata voucher POC528591 chloroplast, complete genome",Olea europaea subsp. cuspidata,377,377,99%,5.999999999999998e-100,97.74,155557,MT560025.1
"Olea europaea subsp. cuspidata voucher Tibetan team 12907 chloroplast, complete genome",Olea europaea subsp. cuspidata,377,377,99%,5.999999999999998e-100,97.74,155536,MT560024.1
"Olea europaea subsp. cuspidata voucher Tibetan team 13384 chloroplast, complete genome",Olea europaea subsp. cuspidata,377,377,99%,5.999999999999998e-100,97.74,155535,MT560023.1
"Olea europaea subsp. cuspidata voucher BOP215910 chloroplast, complete genome",Olea europaea subsp. cuspidata,377,377,99%,5.999999999999998e-100,97.74,155530,MT560022.1
"Olea europaea subsp. cuspidata voucher Hengduan team 1114 chloroplast, complete genome",Olea europaea subsp. cuspidata,377,377,99%,5.999999999999998e-100,97.74,155533,MT560021.1
"Olea europaea subsp. guanchica voucher M.I.Gimeno et al. AH2076 chloroplast, complete genome",Olea europaea subsp. guanchica,377,377,99%,5.999999999999998e-100,97.74,155899,MT560020.1
"Olea tsoongii voucher BOP215904 chloroplast, complete genome",Olea tsoongii,377,377,99%,5.999999999999998e-100,97.74,155246,MT560019.1
"Olea tetragonoclada voucher BOP215907 chloroplast, complete genome",Olea tetragonoclada,377,377,99%,5.999999999999998e-100,97.74,155246,MT560018.1
"Olea sp. voucher POC544315 chloroplast, complete genome",Olea sp.,377,377,99%,5.999999999999998e-100,97.74,155412,MT560017.1
"Olea salicifolia voucher LiuShene 22287 chloroplast, complete genome",Olea salicifolia,377,377,99%,5.999999999999998e-100,97.74,154997,MT560016.1
"Olea rosea voucher POC544490 chloroplast, complete genome",Olea rosea,377,377,99%,5.999999999999998e-100,97.74,155225,MT560015.1
"Olea rosea voucher POC544326 chloroplast, complete genome",Olea rosea,377,377,99%,5.999999999999998e-100,97.74,155226,MT560014.1
"Olea parvilimba voucher BOP215903 chloroplast, complete genome",Olea parvilimba,377,377,99%,5.999999999999998e-100,97.74,155121,MT560013.1
"Olea neriifolia voucher POC544343 chloroplast, complete genome",Olea neriifolia,377,377,99%,5.999999999999998e-100,97.74,155248,MT560012.1
"Olea laxiflora voucher Tibetan team 9496 chloroplast, complete genome",Olea laxiflora,377,377,99%,5.999999999999998e-100,97.74,155340,MT560011.1
"Olea hainanensis voucher Diaoluoshan team 2671 chloroplast, complete genome",Olea hainanensis,377,377,99%,5.999999999999998e-100,97.74,155236,MT560010.1
"Olea guangxiensis voucher Bingyun Qiu 596220 chloroplast, complete genome",Olea guangxiensis,377,377,99%,5.999999999999998e-100,97.74,155149,MT560009.1
"Olea brachiata voucher POC506706 chloroplast, complete genome",Olea brachiata,377,377,99%,5.999999999999998e-100,97.74,155048,MT560008.1
"Olea brachiata voucher Dongxing 10 chloroplast, complete genome",Olea brachiata,377,377,99%,5.999999999999998e-100,97.74,155117,MT560007.1
"Olea brachiata voucher Guosheng He 9528 chloroplast, complete genome",Olea brachiata,377,377,99%,5.999999999999998e-100,97.74,155109,MT560006.1
"Forsythia viridissima chloroplast, complete genome",Forsythia viridissima,377,377,99%,5.999999999999998e-100,97.74,156473,MW856917.1
"Olea europaea subsp. europaea complete chloroplast genome, haplotype E1.4, isolate Stavrovouni 11",Olea europaea subsp. europaea,377,377,99%,5.999999999999998e-100,97.74,155886,HF558645.1
"Forsythia giraldiana isolate coll QBGII-1992.238 voucher QBG-Fliegner et al. SICH1137 chloroplast, complete genome",Forsythia giraldiana,377,377,99%,5.999999999999998e-100,97.74,156383,NC_056245.1
"Syringa komarowii subsp. reflexa chloroplast, complete genome",Syringa komarowii subsp. reflexa,377,377,99%,5.999999999999998e-100,97.74,158020,MT648823.1
"Syringa pubescens subsp. microphylla chloroplast, complete genome",Syringa pubescens subsp. microphylla,377,377,99%,5.999999999999998e-100,97.74,160491,MT872641.1
"Syringa oblata chloroplast, complete genome",Syringa oblata,377,377,99%,5.999999999999998e-100,97.74,155569,NC_057990.1
"Osmanthus didymopetalus mitochondrion, complete genome",Osmanthus didymopetalus,377,377,99%,5.999999999999998e-100,97.74,155155,NC_057502.1
"Abeliophyllum distichum f. lilacinum chloroplast, complete genome",Abeliophyllum distichum f. lilacinum,377,377,99%,5.999999999999998e-100,97.74,156015,MW426545.1
"Fraxinus excelsior subsp. excelsior genome assembly, organelle: plastid",Fraxinus excelsior subsp. excelsior,377,377,99%,5.999999999999998e-100,97.74,155747,LT992336.1
"Forsythia saxatilis voucher SWU:S.Kim 2020-001 chloroplast, complete genome",Forsythia saxatilis,377,377,99%,5.999999999999998e-100,97.74,156376,NC_051493.1
"Olea europaea subsp. europaea cultivar Mehras chloroplast, complete genome",Olea europaea subsp. europaea,377,377,99%,5.999999999999998e-100,97.74,155897,MW072292.1
"Olea europaea cultivar Bianchera chloroplast, complete genome",Olea europaea,377,377,99%,5.999999999999998e-100,97.74,155888,GU228899.2
"Osmanthus cooperi chloroplast, complete genome",Osmanthus cooperi,377,377,99%,5.999999999999998e-100,97.74,155262,NC_053565.1
"Forsythia saxatilis voucher SWU:S.Kim 2020-001 chloroplast, complete genome",Forsythia saxatilis,377,377,99%,5.999999999999998e-100,97.74,156376,MT887608.1
"Fraxinus hupehensis chloroplast, complete genome",Fraxinus hupehensis,377,377,99%,5.999999999999998e-100,97.74,155689,NC_052770.1
"Olea europaea isolate HT67 chloroplast, complete genome",Olea europaea,377,377,99%,5.999999999999998e-100,97.74,155886,MT182986.1
"Olea europaea isolate HT20_chl chloroplast, complete genome",Olea europaea,377,377,99%,5.999999999999998e-100,97.74,155531,MT182985.1
"Olea europaea isolate HT5 chloroplast, complete genome",Olea europaea,377,377,99%,5.999999999999998e-100,97.74,155886,MT182984.1
"Olea europaea subsp. cuspidata chloroplast, complete genome",Olea europaea subsp. cuspidata,377,377,99%,5.999999999999998e-100,97.74,155531,MN017130.1
"Osmanthus serrulatus chloroplast, complete genome",Osmanthus serrulatus,377,377,99%,5.999999999999998e-100,97.74,155465,MN480301.1
"Syringa wolfii chloroplast, complete genome",Syringa wolfii,377,377,99%,5.999999999999998e-100,97.74,156517,NC_049090.1
"Olea europaea subsp. cuspidata complete chloroplast genome, isolate Almihwit 5.1",Olea europaea subsp. cuspidata,377,377,99%,5.999999999999998e-100,97.74,155531,FN996943.2
"Olea europaea subsp. cuspidata complete chloroplast genome, isolate Maui 1",Olea europaea subsp. cuspidata,377,377,99%,5.999999999999998e-100,97.74,155862,FN650747.2
"Olea europaea subsp. maroccana complete chloroplast genome, isolate Immouzzer S1",Olea europaea subsp. maroccana,377,377,99%,5.999999999999998e-100,97.74,155896,FN998900.2
"Olea europaea subsp. europaea complete chloroplast genome, isolate Gue de Constantine 20",Olea europaea subsp. europaea,377,377,99%,5.999999999999998e-100,97.74,155657,FN997651.1
"Olea europaea subsp. europaea complete chloroplast genome, cultivar Manzanilla",Olea europaea subsp. europaea,377,377,99%,5.999999999999998e-100,97.74,155886,FN996972.1
"Olea europaea subsp. cuspidata complete chloroplast genome, isolate Guanghzou 1",Olea europaea subsp. cuspidata,377,377,99%,5.999999999999998e-100,97.74,155533,FN996944.1
"Olea europaea subsp. europaea complete chloroplast genome, isolate Haut Atlas 1",Olea europaea subsp. europaea,377,377,99%,5.999999999999998e-100,97.74,155875,FN997650.2
"Olea europaea cultivar Frantoio chloroplast, complete genome",Olea europaea,377,377,99%,5.999999999999998e-100,97.74,155889,GU931818.1
"Leptodermis scabrida voucher 888 chloroplast, complete genome",Leptodermis scabrida,374,374,100%,1.9999999999999996e-99,97.3,154783,MN686284.1
"Apocynum venetum chloroplast, complete genome",Apocynum venetum,374,374,100%,1.9999999999999996e-99,97.3,150897,MT313688.1
"Dunnia sinensis voucher 4395 chloroplast, complete genome",Dunnia sinensis,374,374,100%,1.9999999999999996e-99,97.3,154909,MN883829.1
"Ophiorrhiza mungos chloroplast, partial genome",Ophiorrhiza mungos,374,374,100%,1.9999999999999996e-99,97.3,127561,KY378702.1
"Schizocolea linderi chloroplast, partial genome",Schizocolea linderi,374,374,100%,1.9999999999999996e-99,97.3,127702,KY378700.1
"Dunnia sinensis chloroplast, partial genome",Dunnia sinensis,374,374,100%,1.9999999999999996e-99,97.3,128201,KY378692.1
"Pentas lanceolata chloroplast, partial genome",Pentas lanceolata,374,374,100%,1.9999999999999996e-99,97.3,128014,KY378685.1
"Deppea grandiflora chloroplast, partial genome",Deppea grandiflora,374,374,100%,1.9999999999999996e-99,97.3,129433,KY378675.1
"Sipanea sp. Rova et al. 1981 chloroplast, partial genome",Sipanea sp. Rova et al. 1981,374,374,100%,1.9999999999999996e-99,97.3,129395,KY378674.1
"Antirhea chinensis chloroplast, complete genome",Antirhea chinensis,374,374,100%,1.9999999999999996e-99,97.3,155616,NC_044102.1
"Antirhea chinensis chloroplast, complete genome",Antirhea chinensis,374,374,100%,1.9999999999999996e-99,97.3,155616,MK102723.1
"Pluchea indica chloroplast, complete genome",Pluchea indica,374,374,100%,1.9999999999999996e-99,97.3,152298,NC_038194.1
"Pluchea indica chloroplast, complete genome",Pluchea indica,374,374,100%,1.9999999999999996e-99,97.3,152298,MG452144.1
"Skytanthus acutus chloroplast, partial genome",Skytanthus acutus,374,374,100%,1.9999999999999996e-99,97.3,128408,MG963271.1
"Willughbeia edulis chloroplast, partial genome",Willughbeia edulis,374,374,100%,1.9999999999999996e-99,97.3,129718,MG963269.1
"Craspidospermum verticillatum chloroplast, partial genome",Craspidospermum verticillatum,374,374,100%,1.9999999999999996e-99,97.3,128701,MG963267.1
"Beaumontia murtonii chloroplast, partial genome",Beaumontia murtonii,374,374,100%,1.9999999999999996e-99,97.3,127613,MG963251.1
"Alstonia scholaris chloroplast, partial genome",Alstonia scholaris,374,374,100%,1.9999999999999996e-99,97.3,128824,MG963247.1
"Kopsia rosea chloroplast, partial genome",Kopsia rosea,374,374,100%,1.9999999999999996e-99,97.3,126663,MG963245.1
"Prestonia portobellensis chloroplast, partial genome",Prestonia portobellensis,374,374,100%,1.9999999999999996e-99,97.3,130328,MG963237.1
"Ambelania acida chloroplast, partial genome",Ambelania acida,374,374,100%,1.9999999999999996e-99,97.3,125673,MG963234.1
"Pentalinon luteum voucher M. Vincent 11460 (GH) plastid, complete genome",Pentalinon luteum,374,374,100%,1.9999999999999996e-99,97.3,154053,KJ953909.1
"Apocynum venetum chloroplast, complete genome",Apocynum venetum,374,374,100%,1.9999999999999996e-99,97.3,150878,MT568765.1
"Inula linariifolia chloroplast, complete genome",Inula linariifolia,374,374,100%,1.9999999999999996e-99,97.3,150812,MN954653.1
"Calycophyllum spruceanum chloroplast, complete genome",Calycophyllum spruceanum,374,374,100%,1.9999999999999996e-99,97.3,154480,OK326865.1
"Leptodermis forrestii voucher 594 chloroplast, complete genome",Leptodermis forrestii,374,374,100%,1.9999999999999996e-99,97.3,154369,MT674522.1
"Leptodermis ludlowii voucher 595 chloroplast, complete genome",Leptodermis ludlowii,374,374,100%,1.9999999999999996e-99,97.3,154403,MT674521.1
"Leptodermis gracilis voucher 598 chloroplast, complete genome",Leptodermis gracilis,374,374,100%,1.9999999999999996e-99,97.3,154779,MT674520.1
"Leptodermis scabrida voucher 601 chloroplast, complete genome",Leptodermis scabrida,374,374,100%,1.9999999999999996e-99,97.3,154790,MT674519.1
"Leptodermis scabrida voucher 604 chloroplast, complete genome",Leptodermis scabrida,374,374,100%,1.9999999999999996e-99,97.3,154885,MT674518.1
"Leptodermis hirsutiflora voucher 611 chloroplast, complete genome",Leptodermis hirsutiflora,374,374,100%,1.9999999999999996e-99,97.3,154630,MT674517.1
"Leptodermis hirsutiflora var. ciliata voucher 614 chloroplast, complete genome",Leptodermis hirsutiflora var. ciliata,374,374,100%,1.9999999999999996e-99,97.3,154619,MT674516.1
"Leptodermis gracilis voucher 891 chloroplast, complete genome",Leptodermis gracilis,374,374,100%,1.9999999999999996e-99,97.3,154783,MT674515.1
"Leptodermis hirsutiflora voucher 913 chloroplast, complete genome",Leptodermis hirsutiflora,374,374,100%,1.9999999999999996e-99,97.3,154639,MT674514.1
"Leptodermis kumaonensis voucher 934 chloroplast, complete genome",Leptodermis kumaonensis,374,374,100%,1.9999999999999996e-99,97.3,154797,MT674513.1
"Leptodermis kumaonensis voucher 957 chloroplast, complete genome",Leptodermis kumaonensis,374,374,100%,1.9999999999999996e-99,97.3,154789,MT674512.1
"Carpesium abrotanoides chloroplast, complete genome",Carpesium abrotanoides,374,374,100%,1.9999999999999996e-99,97.3,151394,MT663326.1
"Blumea balsamifera plastid, complete genome",Blumea balsamifera,374,374,100%,1.9999999999999996e-99,97.3,151163,MZ073673.1
"Inula japonica chloroplast, complete genome",Inula japonica,374,374,100%,1.9999999999999996e-99,97.3,150754,MN974527.1
"Inula helianthus-aquatilis chloroplast, complete genome",Inula helianthus-aquatilis,374,374,100%,1.9999999999999996e-99,97.3,150821,MW770456.1
"Inula helianthus-aquatilis chloroplast, complete genome",Inula helianthus-aquatilis,374,374,100%,1.9999999999999996e-99,97.3,150812,MW770455.1
"Inula hupehensis chloroplast, complete genome",Inula hupehensis,374,374,100%,1.9999999999999996e-99,97.3,150909,MN418395.1
"TPA: Blumea tenella chloroplast, complete genome",Blumea tenella,374,374,100%,1.9999999999999996e-99,97.3,150829,BK013129.1
"TPA: Blumea balsamifera chloroplast, complete genome",Blumea balsamifera,374,374,100%,1.9999999999999996e-99,97.3,151176,BK013127.1
"Tabernaemontana divaricata chloroplast, complete genome",Tabernaemontana divaricata,374,374,100%,1.9999999999999996e-99,97.3,157954,MZ073339.1
"Pluchea pteropoda chloroplast, complete genome",Pluchea pteropoda,374,374,100%,1.9999999999999996e-99,97.3,152300,MW554520.1
"Ophiorrhiza pumila chloroplast, complete genome",Ophiorrhiza pumila,374,374,100%,1.9999999999999996e-99,97.3,154385,NC_057496.1
"Alstonia scholaris chloroplast, complete genome",Alstonia scholaris,374,374,100%,1.9999999999999996e-99,97.3,154699,NC_057091.1
"Chonemorpha megacalyx chloroplast, complete genome",Chonemorpha megacalyx,374,374,100%,1.9999999999999996e-99,97.3,153862,MW246161.1
"Apocynum venetum voucher LBM20200512 chloroplast, complete genome",Apocynum venetum,374,374,100%,1.9999999999999996e-99,97.3,150858,MT547772.1
"Apocynum venetum chloroplast, complete genome",Apocynum venetum,374,374,100%,1.9999999999999996e-99,97.3,156596,NC_053902.1
"Foonchewia guangdongensis voucher 5858 chloroplast, complete genome",Foonchewia coriacea,374,374,100%,1.9999999999999996e-99,97.3,153114,NC_053762.1
"Leptodermis scabrida voucher 888 chloroplast, complete genome",Leptodermis scabrida,374,374,100%,1.9999999999999996e-99,97.3,154783,NC_049160.1
"Syringa oblata chloroplast, complete genome",Syringa oblata,372,372,99%,6.999999999999997e-99,97.29,155648,MT025818.1
"Syringa reticulata subsp. pekinensis chloroplast, complete genome",Syringa reticulata subsp. pekinensis,372,372,99%,6.999999999999997e-99,97.29,155819,MN901632.1
"Ajuga forrestii chloroplast, complete genome",Ajuga forrestii,372,372,99%,6.999999999999997e-99,97.29,150492,NC_048512.1
"Spathodea campanulata chloroplast, complete genome",Spathodea campanulata,372,372,99%,6.999999999999997e-99,97.29,158001,MN106255.1
"Catalpa speciosa chloroplast, complete genome",Catalpa speciosa,372,372,99%,6.999999999999997e-99,97.29,158239,MT319818.1
"Ajuga nipponensis chloroplast, complete genome",Ajuga nipponensis,372,372,99%,6.999999999999997e-99,97.29,150459,MN814857.1
"Ajuga lupulina chloroplast, complete genome",Ajuga lupulina,372,372,99%,6.999999999999997e-99,97.29,150534,MN814856.1
"Ajuga forrestii chloroplast, complete genome",Ajuga forrestii,372,372,99%,6.999999999999997e-99,97.29,150342,MN814855.1
"Ajuga decumbens chloroplast, complete genome",Ajuga decumbens,372,372,99%,6.999999999999997e-99,97.29,150325,MN814854.1
"Ajuga ciliata chloroplast, complete genome",Ajuga ciliata,372,372,99%,6.999999999999997e-99,97.29,150494,MN814853.1
"Ajuga campylanthoides chloroplast, complete genome",Ajuga campylanthoides,372,372,99%,6.999999999999997e-99,97.29,150500,MN814852.1
"Ajuga campylantha chloroplast, complete genome",Ajuga campylantha,372,372,99%,6.999999999999997e-99,97.29,150478,MN814851.1
"Myxopyrum hainanense chloroplast, complete genome",Myxopyrum hainanense,372,372,99%,6.999999999999997e-99,97.29,156064,NC_047485.1
"Catalpa ovata chloroplast, complete genome",Catalpa ovata,372,372,99%,6.999999999999997e-99,97.29,158355,NC_047416.1
"Ajuga forrestii chloroplast, complete genome",Ajuga forrestii,372,372,99%,6.999999999999997e-99,97.29,150492,MN518848.1
"Myxopyrum hainanense chloroplast, complete genome",Myxopyrum hainanense,372,372,99%,6.999999999999997e-99,97.29,156064,MN908148.1
"Catalpa ovata chloroplast, complete genome",Catalpa ovata,372,372,99%,6.999999999999997e-99,97.29,158355,MT186670.1
"Forestiera pubescens var. pubescens isolate LBJWC-0204 chloroplast, complete genome",Forestiera pubescens var. pubescens,372,372,99%,6.999999999999997e-99,97.29,155183,MK299390.1
"Chionanthus fluminensis voucher K:F.O. Souza et al. 204 chloroplast, complete genome",Chionanthus fluminensis,372,372,99%,6.999999999999997e-99,97.29,155911,MK299389.1
"Ligustrum quihoui chloroplast, complete genome",Ligustrum quihoui,372,372,99%,6.999999999999997e-99,97.29,163069,MN723863.1
"Callicarpa nudiflora chloroplast, partial genome",Callicarpa nudiflora,372,372,99%,6.999999999999997e-99,97.29,154080,MK783316.1
"Teucrium mascatense chloroplast, complete genome",Teucrium mascatense,372,372,99%,6.999999999999997e-99,97.29,150499,NC_044073.1
"Teucrium mascatense chloroplast, complete genome",Teucrium mascatense,372,372,99%,6.999999999999997e-99,97.29,150499,MH325132.1
"Amphilophium steyermarkii voucher J.A. Steyermark 106874 chloroplast, complete genome",Amphilophium steyermarkii,372,372,99%,6.999999999999997e-99,97.29,164749,NC_042934.1
"Amphilophium carolinae voucher M.M. Arbo 9125 chloroplast, complete genome",Amphilophium carolinae,372,372,99%,6.999999999999997e-99,97.29,163515,NC_042933.1
